iter	Passed	Remaining
148	1798	7808
149	1804	7772
150	1832	7827
151	1838	7789
152	1845	7754
153	1852	7722
154	1859	7688
155	1885	7736
156	1893	7706
157	1900	7673
158	1907	7640
159	1915	7613
160	1943	7667
161	1951	7635
162	1958	7606
163	1965	7575
164	1973	7548
165	2001	7594
166	2009	7567
167	2015	7535
168	2022	7502
169	2028	7469
170	2056	7516
171	2062	7483
172	2070	7456
173	2077	7425
174	2083	7393
175	2113	7445
176	2120	7414
177	2126	7382
178	2132	7351
179	2139	7320
180	2167	7364
181	2174	7337
182	2180	7305
183	2187	7275
184	2193	7245
185	2221	7284
186	2229	7259
187	2236	7234
188	2243	7205
189	2249	7176
190	2277	7212
191	2285	7188
192	2291	7158
193	2296	7127
194	2303	7100
195	2331	7136
196	2339	7114
197	2346	7087
198	2353	7059
199	2359	7031
200	2387	7067
201	2396	7045
202	2402	7018
203	2409	6991
204	2415	6963
205	2447	7010
206	2455	6987
207	2462	6961
208	2469	6935
209	2475	6907
210	2506	6948
211	2512	6921
212	2519	6897
213	2526	6870
214	2533	6846
215	2561	6877
216	2569	6855
217	2577	6834
218	2585	6811
219	2592	6788
220	2621	6819
221	2628	6796
222	2635	6771
223	2641	6745
224	2648	6721
225	2675	6748
226	2683	6725
227	2690	6701
228	2697	6679
229	2703	6654
230	2731	6681
231	2739	6660
232	2746	6637
233	2753	6613
234	2759	6587
235	2787	6614
236	2794	6590
237	2800	6566
238	2807	6542
239	2814	6519
240	2840	6541
241	2848	6520
242	2854	6495
243	2861	6472
244	2867	6449
245	2897	6477
246	2904	6455
247	2911	6433
248	2918	6411
249	2924	6387
250	2951	6409
251	2957	6384
252	2964	6363
253	2970	6338
254	2977	6316
255	3004	6337
256	3012	6317
257	3018	6293
258	3024	6269
259	3030	6247
260	3061	6274
261	3067	6253
262	3075	6232
263	3082	6212
264	3089	6191
265	3117	6211
266	3125	6193
267	3133	6172
268	3140	6151
269	3147	6130
270	3176	6153
271	3183	6132
272	3189	6111
273	3196	6090
274	3202	6067
275	3233	6091
276	3241	6073
277	3248	6052
278	3254	6030
279	3261	6011
280	3288	6026
281	3294	6005
282	3301	5983
283	3308	5963
284	3314	5943
285	3343	5962
286	3350	5941
287	3356	5921
288	3362	5899
289	3369	5878
290	3396	5893
291	3402	5873
292	3409	5853
293	3416	5833
294	3422	5812
295	3450	5827
296	3457	5808
297	3468	5795
298	3478	5782
299	3484	5761
300	3513	5777
301	3519	5757
302	3526	5737
303	3532	5716
304	3539	5698
305	3567	5713
306	3575	5694
307	3581	5673
308	3588	5655
309	3593	5634
310	3621	5648
311	3628	5629
312	3635	5610
313	3641	5590
314	3648	5570
315	3676	5584
316	3682	5564
317	3689	5545
318	3695	5526
319	3702	5508
320	3734	5525
321	3740	5506
322	3747	5488
323	3754	5469
324	3760	5450
325	3788	5461
326	3794	5442
327	3800	5423
328	3807	5404
329	3813	5384
330	3840	5395
331	3848	5378
332	3855	5360
333	3861	5340
334	3867	5322
335	3895	5332
336	3903	5316
337	3910	5298
338	3917	5280
339	3923	5262
340	3951	5272
341	3957	5253
342	3964	5235
343	3970	5217
344	3977	5200
345	4007	5211
346	4014	5194
347	4022	5178
348	4028	5160
349	4035	5142
350	4062	5150
351	4069	5132
352	4075	5114
353	4083	5098
354	4089	5080
355	4119	5091
356	4128	5076
357	4136	5060
358	4143	5043
359	4150	5027
360	4179	5036
361	4185	5018
362	4192	5001
363	4200	4984
364	4205	4966
365	4233	4973
366	4241	4957
367	4248	4941
368	4255	4924
369	4262	4907
370	4290	4914
371	4298	4899
372	4305	4882
373	4311	4865
374	4318	4847
375	4346	4855
376	4353	4838
377	4360	4821
378	4368	4806
379	4374	4789
380	4405	4798
381	4412	4781
382	4418	4765
383	4425	4748
384	4431	4731
385	4461	4738
386	4468	4722
387	4474	4705
388	4481	4688
389	4488	4672
390	4515	4677
391	4523	4661
392	4530	4645
393	4537	4629
394	4544	4613
395	4571	4618
396	4579	4602
397	4585	4585
398	4591	4568
399	4597	4551
400	4627	4557
401	4640	4547
402	4653	4537
403	4666	4528
404	4681	4519
405	4714	4528
406	4720	4511
407	4727	4495
408	4734	4479
409	4741	4464
410	4768	4467
411	4776	4451
412	4783	4435
413	4790	4420
414	4797	4404
415	4824	4407
416	4831	4391
417	4837	4374
418	4844	4358
419	4850	4342
420	4879	4346
421	4885	4330
422	4892	4314
423	4898	4297
424	4905	4281
425	4932	4283
426	4939	4268
427	4945	4252
428	4952	4236
429	4958	4220
430	4987	4223
431	4994	4208
432	5000	4192
433	5008	4177
434	5014	4161
435	5043	4164
436	5049	4148
437	5056	4132
438	5063	4117
439	5070	4102
440	5100	4105
441	5106	4090
442	5113	4074
443	5120	4059
444	5126	4043
445	5154	4045
446	5162	4030
447	5169	4015
448	5177	4001
449	5184	3986
450	5211	3986
451	5218	3971
452	5225	3956
453	5231	3940
454	5238	3925
455	5264	3925
456	5272	3911
457	5278	3895
458	5285	3880
459	5291	3865
460	5319	3865
461	5326	3850
462	5334	3836
463	5340	3821
464	5346	3805
465	5374	3805
466	5380	3790
467	5387	3775
468	5395	3761
469	5401	3746
470	5430	3747
471	5437	3732
472	5444	3717
473	5451	3703
474	5457	3688
475	5486	3688
476	5493	3673
477	5501	3660
478	5507	3644
479	5514	3630
480	5541	3629
481	5549	3615
482	5556	3600
483	5563	3586
484	5569	3571
485	5604	3575
486	5612	3561
487	5619	3546
488	5626	3532
489	5633	3518
490	5665	3519
491	5671	3504
492	5678	3489
493	5685	3475
494	5692	3461
495	5720	3459
496	5728	3446
497	5736	3432
498	5743	3418
499	5749	3403
500	5778	3402
501	5784	3387
502	5790	3373
503	5797	3358
504	5803	3343
505	5831	3342
506	5838	3328
507	5845	3313
508	5851	3299
509	5858	3285
510	5887	3283
511	5894	3269
512	5901	3255
513	5907	3241
514	5914	3227
515	5948	3228
516	5955	3213
517	5963	3200
518	5970	3186
519	5978	3173
520	6006	3170
521	6013	3156
522	6020	3142
523	6028	3129
524	6034	3114
525	6067	3114
526	6078	3102
527	6084	3088
528	6091	3074
529	6097	3060
530	6126	3057
531	6133	3043
532	6140	3029
533	6146	3015
534	6153	3001
535	6180	2998
536	6187	2984
537	6194	2970
538	6201	2956
539	6208	2943
540	6237	2940
541	6245	2926
542	6251	2912
543	6259	2899
544	6265	2885
545	6297	2883
546	6305	2870
547	6312	2856
548	6318	2842
549	6326	2829
550	6355	2826
551	6361	2812
552	6367	2798
553	6374	2784
554	6381	2770
555	6409	2766
556	6416	2753
557	6424	2740
558	6430	2726
559	6437	2713
560	6465	2708
561	6473	2695
562	6479	2681
563	6486	2668
564	6493	2654
565	6522	2650
566	6535	2639
567	6548	2628
568	6564	2619
569	6579	2608
570	6610	2604
571	6616	2591
572	6623	2577
573	6630	2564
574	6637	2551
575	6664	2545
576	6672	2532
577	6679	2519
578	6686	2505
579	6692	2492
580	6719	2486
581	6726	2473
582	6732	2459
583	6738	2446
584	6744	2432
585	6775	2428
586	6783	2415
587	6790	2402
588	6796	2388
589	6803	2375
590	6829	2369
591	6836	2355
592	6842	2342
593	6849	2329
594	6856	2316
595	6883	2309
596	6890	2296
597	6899	2284
598	6906	2271
599	6912	2258
600	6939	2251
601	6946	2238
602	6952	2225
603	6959	2212
604	6966	2199
605	6993	2192
606	7000	2179
607	7007	2166
608	7014	2153
609	7022	2141
610	7050	2134
611	7058	2122
612	7065	2109
613	7072	2096
614	7081	2084
615	7108	2077
616	7115	2064
617	7121	2051
618	7128	2038
619	7134	2025
620	7164	2019
621	7172	2006
622	7178	1993
623	7184	1980
624	7191	1967
625	7219	1960
626	7225	1947
627	7232	1934
628	7239	1922
629	7246	1909
630	7273	1901
631	7280	1889
632	7288	1876
633	7295	1864
634	7302	1851
635	7329	1843
636	7335	1831
637	7341	1818
638	7348	1805
639	7354	1792
640	7382	1785
641	7389	1772
642	7396	1759
643	7402	1747
644	7409	1734
645	7436	1726
646	7443	1714
647	7450	1701
648	7457	1689
649	7463	1676
650	7495	1669
651	7502	1657
652	7509	1644
653	7515	1631
654	7521	1619
655	7550	1611
656	7557	1598
657	7563	1586
658	7571	1573
659	7578	1561
660	7608	1553
661	7616	1541
662	7623	1529
663	7629	1516
664	7635	1504
665	7663	1495
666	7670	1483
667	7677	1471
668	7684	1458
669	7691	1446
670	7720	1438
671	7726	1425
672	7732	1413
673	7739	1400
674	7745	1388
675	7772	1379
676	7778	1367
677	7784	1354
678	7791	1342
679	7798	1330
680	7827	1321
681	7835	1309
682	7842	1297
683	7848	1285
684	7855	1272
685	7881	1263
686	7888	1251
687	7896	1239
688	7906	1227
689	7913	1215
690	7942	1206
691	7948	1194
692	7958	1182
693	7964	1170
694	7971	1158
695	8001	1149
696	8008	1137
697	8014	1125
698	8021	1113
699	8027	1100
700	8057	1091
701	8063	1079
702	8071	1067
703	8077	1055
704	8084	1043
705	8112	1034
706	8120	1022
707	8126	1010
708	8132	997
709	8139	985
710	8168	976
711	8175	964
712	8182	952
713	8189	940
714	8196	928
715	8225	919
716	8231	907
717	8237	894
718	8244	882
719	8251	870
720	8279	861
721	8286	849
722	8293	837
723	8299	825
724	8307	813
725	8336	803
726	8343	791
727	8349	779
728	8355	767
729	8361	755
730	8389	746
731	8397	734
732	8403	722
733	8409	710
734	8416	698
735	8442	688
736	8450	676
737	8456	664
738	8463	652
739	8469	640
740	8498	630
741	8505	618
742	8512	607
743	8520	595
744	8528	583
745	8557	573
746	8565	561
747	8572	550
748	8578	538
749	8584	526
750	8613	516
751	8620	504
752	8626	492
753	8632	480
754	8638	469
755	8668	458
756	8675	446
757	8681	435
758	8687	423
759	8694	411
760	8721	401
761	8728	389
762	8734	377
763	8741	366
764	8748	354
765	8776	343
766	8783	332
767	8789	320
768	8796	308
769	8803	297
770	8832	286
771	8839	274
772	8846	263
773	8853	251
774	8860	240
775	8889	229
776	8897	217
777	8903	205
778	8909	194
779	8916	182
780	8944	171
781	8950	160
782	8957	148
783	8964	137
784	8970	125
785	8997	114
786	9003	102
787	9010	91
788	9016	79
789	9023	68
790	9050	57
791	9057	45
792	9064	34
793	9073	22
794	9080	11
795	9109	0
